Country,Region,pays_fr,pays_en,code_iso3,region_oms,continent,sous_region_onu
lithuania,Europe,Norvège,Norway,NOR,Europe,Europe,Northern Europe
luxembourg,Europe,Luxembourg,Luxembourg,LUX,Europe,Europe,Western Europe
malaysia,Western Pacific,Pologne,Poland,POL,Europe,Europe,Eastern Europe
malta,Europe,Corée du Sud,Republic of Korea,KOR,Western Pacific,Asia,Eastern Asia
mexico,Americas,Moldavie,Republic of Moldova,MDA,Europe,Europe,Eastern Europe
monaco,Europe,Monaco,Monaco,MCO,Europe,Europe,Western Europe
mongolia,Western Pacific,Russie,Russian Federation,RUS,Europe,Europe,Eastern Europe
montenegro,Europe,Saint-Marin,San Marino,SMR,Europe,Europe,Southern Europe
morocco,Eastern Mediterranean,Serbie,Serbia,SRB,Europe,Europe,Southern Europe
nepal,South-East Asia,Singapour,Singapore,SGP,Western Pacific,Asia,South-eastern Asia
netherlands,Europe,Slovaquie,Slovakia,SVK,Europe,Europe,Eastern Europe
new zealand,Western Pacific,Slovénie,Slovenia,SVN,Europe,Europe,Southern Europe
nicaragua,Americas,Nicaragua,Nicaragua,NIC,Americas,Americas,Central America
nigeria,Africa,Nigeria,Nigeria,NGA,Africa,Africa,Western Africa
niue,Western Pacific,Niue,Niue,NIU,Western Pacific,Oceania,Polynesia
republic of north macedonia,Europe,Suisse,Switzerland,CHE,Europe,Europe,Western Europe
norway,Europe,Tadjikistan,Tajikistan,TJK,Europe,Asia,Central Asia
oman,Eastern Mediterranean,Oman,Oman,OMN,Eastern Mediterranean,Asia,Western Asia
pakistan,Eastern Mediterranean,Pakistan,Pakistan,PAK,Eastern Mediterranean,Asia,Southern Asia
paraguay,Americas,Paraguay,Paraguay,PRY,Americas,Americas,South America
peru,Americas,Royaume-Uni,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Europe,Northern Europe
philippines,Western Pacific,Philippines,Philippines,PHL,Western Pacific,Asia,South-eastern Asia
poland,Europe,États-Unis,United States of America,USA,Americas,Americas,Northern America
portugal,Europe,Portugal,Portugal,PRT,Europe,Europe,Southern Europe
qatar,Eastern Mediterranean,Qatar,Qatar,QAT,Eastern Mediterranean,Asia,Western Asia
republic of korea,Western Pacific,Algérie,Algeria,DZA,Africa,Africa,Northern Africa
republic of moldova,Europe,Antigua-et-Barbuda,Antigua and Barbuda,ATG,Americas,Americas,Caribbean
romania,Europe,Argentine,Argentina,ARG,Americas,Americas,South America
russian federation,Europe,Barbade,Barbados,BRB,Americas,Americas,Caribbean
rwanda,Africa,Rwanda,Rwanda,RWA,Africa,Africa,Eastern Africa
samoa,Western Pacific,Samoa,Samoa,WSM,Western Pacific,Oceania,Polynesia
san marino,Europe,Brunei,Brunei Darussalam,BRN,Western Pacific,Asia,South-eastern Asia
serbia,Europe,Cap-Vert,Cabo Verde,CPV,Africa,Africa,Western Africa
sierra leone,Africa,Sierra Leone,Sierra Leone,SLE,Africa,Africa,Western Africa
singapore,Western Pacific,République centrafricaine,Central African Republic,CAF,Africa,Africa,Middle Africa
slovakia,Europe,Tchad,Chad,TCD,Africa,Africa,Middle Africa
slovenia,Europe,Comores,Comoros,COM,Africa,Africa,Eastern Africa
south africa,Africa,Îles Cook,Cook Islands,COK,Western Pacific,Oceania,Polynesia
spain,Europe,Congo-Kinshasa,Democratic Republic of the Congo,COD,Africa,Africa,Middle Africa
sri lanka,South-East Asia,Sri Lanka,Sri Lanka,LKA,South-East Asia,Asia,Southern Asia
sweden,Europe,République dominicaine,Dominican Republic,DOM,Americas,Americas,Caribbean
switzerland,Europe,Égypte,Egypt,EGY,Eastern Mediterranean,Africa,Northern Africa
tajikistan,Europe,Guinée équatoriale,Equatorial Guinea,GNQ,Africa,Africa,Middle Africa
tunisia,Eastern Mediterranean,Érythrée,Eritrea,ERI,Africa,Africa,Eastern Africa
turkmenistan,Europe,Fidji,Fiji,FJI,Western Pacific,Oceania,Melanesia
tuvalu,Western Pacific,Tuvalu,Tuvalu,TUV,Western Pacific,Oceania,Polynesia
uganda,Africa,Guinée-Bissau,Guinea-Bissau,GNB,Africa,Africa,Western Africa
ukraine,Europe,Ukraine,Ukraine,UKR,Europe,Europe,Eastern Europe
united kingdom of great britain and northern ireland,Europe,Indonésie,Indonesia,IDN,South-East Asia,Asia,South-eastern Asia
united republic of tanzania,Africa,Jamaïque,Jamaica,JAM,Americas,Americas,Caribbean
united states of america,Americas,Libye,Libya,LBY,Eastern Mediterranean,Africa,Northern Africa
uruguay,Americas,Uruguay,Uruguay,URY,Americas,Americas,South America
uzbekistan,Europe,Mauritanie,Mauritania,MRT,Africa,Africa,Western Africa
vanuatu,Western Pacific,Vanuatu,Vanuatu,VUT,Western Pacific,Oceania,Melanesia
zambia,Africa,Micronésie,Micronesia (Federated States of),FSM,Western Pacific,Oceania,Micronesia
afghanistan,Eastern Mediterranean,Afghanistan,Afghanistan,AFG,Eastern Mediterranean,Asia,Southern Asia
algeria,Africa,Namibie,Namibia,NAM,Africa,Africa,Southern Africa
angola,Africa,Angola,Angola,AGO,Africa,Africa,Middle Africa
antigua and barbuda,Americas,Papouasie-Nouvelle-Guinée,Papua New Guinea,PNG,Western Pacific,Oceania,Melanesia
argentina,Americas,Saint-Christophe-et-Niévès,Saint Kitts and Nevis,KNA,Americas,Americas,Caribbean
bahamas,Americas,Bahamas,Bahamas,BHS,Americas,Americas,Caribbean
barbados,Americas,Saint-Vincent-et-les Grenadines,Saint Vincent and the Grenadines,VCT,Americas,Americas,Caribbean
belize,Americas,Belize,Belize,BLZ,Americas,Americas,Central America
benin,Africa,Arabie saoudite,Saudi Arabia,SAU,Eastern Mediterranean,Asia,Western Asia
bolivia (plurinational state of),Americas,Sénégal,Senegal,SEN,Africa,Africa,Western Africa
brunei darussalam,Western Pacific,Îles Salomon,Solomon Islands,SLB,Western Pacific,Oceania,Melanesia
burkina faso,Africa,Burkina Faso,Burkina Faso,BFA,Africa,Africa,Western Africa
burundi,Africa,Burundi,Burundi,BDI,Africa,Africa,Eastern Africa
cabo verde,Africa,Soudan,Sudan,SDN,Eastern Mediterranean,Africa,Northern Africa
cameroon,Africa,Syrie,Syrian Arab Republic,SYR,Eastern Mediterranean,Asia,Western Asia
central african republic,Africa,Thaïlande,Thailand,THA,South-East Asia,Asia,South-eastern Asia
chad,Africa,Timor oriental,Timor-Leste,TLS,South-East Asia,Asia,South-eastern Asia
comoros,Africa,Trinité-et-Tobago,Trinidad and Tobago,TTO,Americas,Americas,Caribbean
cook islands,Western Pacific,Turquie,Turkey,TUR,Europe,Asia,Western Asia
cuba,Americas,Cuba,Cuba,CUB,Americas,Americas,Caribbean
democratic republic of the congo,Africa,Venezuela,Venezuela (Bolivarian Republic of),VEN,Americas,Americas,South America
djibouti,Eastern Mediterranean,Djibouti,Djibouti,DJI,Eastern Mediterranean,Africa,Eastern Africa
dominica,Americas,Yémen,Yemen,YEM,Eastern Mediterranean,Asia,Western Asia
dominican republic,Americas,Samoa américaines,American Samoa,ASM,Western Pacific,Oceania,Polynesia
egypt,Eastern Mediterranean,Bermudes,Bermuda,BMU,Americas,Americas,Northern America
equatorial guinea,Africa,Pays-Bas caribéens,"Bonaire, Sint Eustatius and Saba",BES,Americas,Americas,Caribbean
eritrea,Africa,Îles Vierges britanniques,British Virgin Islands,VGB,Americas,Americas,Caribbean
fiji,Western Pacific,Îles Caïmans,Cayman Islands,CYM,Americas,Americas,Caribbean
gabon,Africa,Gabon,Gabon,GAB,Africa,Africa,Middle Africa
guinea,Africa,Hong Kong,"China, Hong Kong SAR",HKG,Western Pacific,Asia,Eastern Asia
guinea-bissau,Africa,Macao,"China, Macao SAR",MAC,Western Pacific,Asia,Eastern Asia
guyana,Americas,Guyana,Guyana,GUY,Americas,Americas,South America
haiti,Americas,Chine,"China, mainland",CHN,Western Pacific,Asia,Eastern Asia
indonesia,South-East Asia,Chine,"China, mainland",CHN,Western Pacific,Asia,Eastern Asia
jamaica,Americas,Îles Malouines,Falkland Islands (Malvinas),FLK,Americas,Americas,South America
kiribati,Western Pacific,Kiribati,Kiribati,KIR,Western Pacific,Oceania,Micronesia
lesotho,Africa,Lesotho,Lesotho,LSO,Africa,Africa,Southern Africa
liberia,Africa,Liberia,Liberia,LBR,Africa,Africa,Western Africa
libya,Eastern Mediterranean,Groenland,Greenland,GRL,Americas,Americas,Northern America
madagascar,Africa,Madagascar,Madagascar,MDG,Africa,Africa,Eastern Africa
malawi,Africa,Malawi,Malawi,MWI,Africa,Africa,Eastern Africa
maldives,South-East Asia,Maldives,Maldives,MDV,South-East Asia,Asia,Southern Asia
mali,Africa,Mali,Mali,MLI,Africa,Africa,Western Africa
marshall islands,Western Pacific,Îles Mariannes du Nord,Northern Mariana Islands,MNP,Western Pacific,Oceania,Micronesia
mauritania,Africa,Territoires palestiniens,Palestine,PSE,Eastern Mediterranean,Asia,Western Asia
mauritius,Africa,Porto Rico,Puerto Rico,PRI,Americas,Americas,Caribbean
micronesia (federated states of),Western Pacific,La Réunion,Réunion,REU,Africa,Africa,Eastern Africa
mozambique,Africa,Mozambique,Mozambique,MOZ,Africa,Africa,Eastern Africa
myanmar,South-East Asia,Sainte-Hélène,"Saint Helena, Ascension and Tristan da Cunha",SHN,Africa,Africa,Western Africa
namibia,Africa,Saint-Pierre-et-Miquelon,Saint Pierre and Miquelon,SPM,Americas,Americas,Northern America
nauru,Western Pacific,Nauru,Nauru,NRU,Western Pacific,Oceania,Polynesia
niger,Africa,Niger,Niger,NER,Africa,Africa,Western Africa
palau,Western Pacific,Saint-Martin (partie néerlandaise),Sint Maarten (Dutch part),SXM,Americas,Americas,Caribbean
panama,Americas,Panama,Panama,PAN,Americas,Americas,Central America
papua new guinea,Western Pacific,Soudan,Sudan (former),SDN,Eastern Mediterranean,Africa,Northern Africa
saint kitts and nevis,Americas,Îles Turques-et-Caïques,Turks and Caicos Islands,TCA,Americas,Americas,Caribbean
saint lucia,Americas,Îles Vierges des États-Unis,United States Virgin Islands,VIR,Americas,Americas,Caribbean
saint vincent and the grenadines,Americas,Wallis-et-Futuna,Wallis and Futuna Islands,WLF,Western Pacific,Oceania,Polynesia
sao tome and principe,Africa,Sahara occidental,Western Sahara,ESH,Africa,Africa,Northern Africa
saudi arabia,Eastern Mediterranean,Arabie saoudite,Saudi Arabia,SAU,Eastern Mediterranean,Asia,Western Asia
senegal,Africa,Sénégal,Senegal,SEN,Africa,Africa,Western Africa
seychelles,Africa,Seychelles,Seychelles,SYC,Africa,Africa,Eastern Africa
solomon islands,Western Pacific,Îles Salomon,Solomon Islands,SLB,Western Pacific,Oceania,Melanesia
somalia,Eastern Mediterranean,Somalie,Somalia,SOM,Eastern Mediterranean,Africa,Eastern Africa
south sudan,Africa,Soudan du Sud,South Sudan,SSD,Africa,Africa,Eastern Africa
sudan,Eastern Mediterranean,Soudan,Sudan,SDN,Eastern Mediterranean,Africa,Northern Africa
suriname,Americas,Suriname,Suriname,SUR,Americas,Americas,South America
syrian arab republic,Eastern Mediterranean,Syrie,Syrian Arab Republic,SYR,Eastern Mediterranean,Asia,Western Asia
thailand,South-East Asia,Thaïlande,Thailand,THA,South-East Asia,Asia,South-eastern Asia
timor-leste,South-East Asia,Timor oriental,Timor-Leste,TLS,South-East Asia,Asia,South-eastern Asia
togo,Africa,Togo,Togo,TGO,Africa,Africa,Western Africa
tonga,Western Pacific,Tonga,Tonga,TON,Western Pacific,Oceania,Polynesia
trinidad and tobago,Americas,Trinité-et-Tobago,Trinidad and Tobago,TTO,Americas,Americas,Caribbean
turkey,Europe,Turquie,Turkey,TUR,Europe,Asia,Western Asia
united arab emirates,Eastern Mediterranean,Émirats arabes unis,United Arab Emirates,ARE,Eastern Mediterranean,Asia,Western Asia
venezuela (bolivarian republic of),Americas,Venezuela,Venezuela (Bolivarian Republic of),VEN,Americas,Americas,South America
viet nam,Western Pacific,Viêt Nam,Viet Nam,VNM,Western Pacific,Asia,South-eastern Asia
yemen,Eastern Mediterranean,Yémen,Yemen,YEM,Eastern Mediterranean,Asia,Western Asia
zimbabwe,Africa,Zimbabwe,Zimbabwe,ZWE,Africa,Africa,Eastern Africa
American Samoa,Western Pacific,,,,,,
Anguilla,Americas,Anguilla,Anguilla,AIA,Americas,Americas,Caribbean
Aruba,Americas,Aruba,Aruba,ABW,Americas,Americas,Caribbean
Bermuda,Americas,,,,,,
"Bonaire, Sint Eustatius and Saba",Americas,,,,,,
British Virgin Islands,Americas,,,,,,
Cayman Islands,Americas,,,,,,
Channel Islands,Europe,,,,,,
"China, Hong Kong SAR",Western Pacific,,,,,,
"China, Macao SAR",Western Pacific,,,,,,
"China, Taiwan Province of",Western Pacific,,,,,,
"China, mainland",Western Pacific,,,,,,
Curaçao,Americas,Curaçao,Curaçao,CUW,Americas,Americas,Caribbean
Falkland Islands (Malvinas),Americas,,,,,,
Faroe Islands,Europe,,,,,,
French Guyana,Americas,,,,,,
French Polynesia,Western Pacific,,,,,,
Gibraltar,Europe,Gibraltar,Gibraltar,GIB,Europe,Europe,Southern Europe
Greenland,Americas,,,,,,
Guadeloupe,Americas,Guadeloupe,Guadeloupe,GLP,Americas,Americas,Caribbean
Guam,Western Pacific,Guam,Guam,GUM,Western Pacific,Oceania,Micronesia
Holy See,Europe,,,,,,
Isle of Man,Europe,,,,,,
Liechtenstein,Europe,Liechtenstein,Liechtenstein,LIE,Europe,Europe,Western Europe
Martinique,Americas,Martinique,Martinique,MTQ,Americas,Americas,Caribbean
Mayotte,Africa,Mayotte,Mayotte,MYT,Africa,Africa,Eastern Africa
Montserrat,Americas,Montserrat,Montserrat,MSR,Americas,Americas,Caribbean
Netherlands Antilles (former),Americas,,,,,,
New Caledonia,Western Pacific,,,,,,
Northern Mariana Islands,Western Pacific,,,,,,
Palestine,Eastern Mediterranean,,,,,,
Puerto Rico,Americas,,,,,,
Réunion,Africa,,,,,,
Saint Barthélemy,Americas,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",Africa,,,,,,
Saint Pierre and Miquelon,Americas,,,,,,
Saint-Martin (French part),Americas,,,,,,
Serbia and Montenegro,Europe,,,,,,
Sint Maarten (Dutch part),Americas,,,,,,
Sint Maarten  (Dutch part),Americas,,,,,,
Sudan (former),Eastern Mediterranean,,,,,,
Tokelau,Western Pacific,Tokelau,Tokelau,TKL,Western Pacific,Oceania,Polynesia
Turks and Caicos Islands,Americas,,,,,,
United States Virgin Islands,Americas,,,,,,
Wallis and Futuna Islands,Western Pacific,,,,,,
Western Sahara,Africa,,,,,,
